SYMBOL,SERIES,CLOSE,TIMESTAMP
20MICRONS,EQ,125.6,01-Nov-12
3IINFOTECH,BE,7.9,01-Nov-12
3MINDIA,EQ,3820,01-Nov-12
A2ZMES,EQ,59.95,01-Nov-12
AANJANEYA,EQ,637.3,01-Nov-12
AARTIDRUGS,EQ,193.05,01-Nov-12
AARTIIND,EQ,92.8,01-Nov-12
AARVEEDEN,EQ,59.2,01-Nov-12
ABAN,EQ,443.95,01-Nov-12
ABB,EQ,736,01-Nov-12
ABBOTINDIA,EQ,1456.15,01-Nov-12
ABCIL,EQ,90.05,01-Nov-12
ABGSHIP,EQ,373.6,01-Nov-12
ABHISHEK,EQ,6.85,01-Nov-12
ABIRLANUVO,EQ,908,01-Nov-12
ACC,EQ,1395.1,01-Nov-12
ACCELYA,BE,219.5,01-Nov-12
ACE,EQ,24.5,01-Nov-12
ACROPETAL,EQ,12.5,01-Nov-12
ADANIENT,EQ,225.6,01-Nov-12
ADANIPORTS,EQ,125,01-Nov-12
ADANIPOWER,EQ,49.4,01-Nov-12
ADFFOODS,EQ,57.5,01-Nov-12
ADHUNIK,EQ,30.15,01-Nov-12
ADORWELD,EQ,134.9,01-Nov-12
ADSL,EQ,22.25,01-Nov-12
ADVANTA,EQ,818.3,01-Nov-12
AEGISCHEM,EQ,172.15,01-Nov-12
AFL,EQ,33.5,01-Nov-12
AFTEK,EQ,7.7,01-Nov-12
AGCNET,EQ,396.8,01-Nov-12
AGRODUTCH,EQ,3.65,01-Nov-12
AHLEAST,EQ,222.85,01-Nov-12
AHLUCONT,EQ,39.45,01-Nov-12
AHLWEST,EQ,130.5,01-Nov-12
AHMEDFORGE,EQ,126.6,01-Nov-12
AIAENG,EQ,383.8,01-Nov-12
AICHAMP,BE,17.75,01-Nov-12
AIL,EQ,421.8,01-Nov-12
AJANTPHARM,EQ,395.35,01-Nov-12
AJMERA,BE,117.35,01-Nov-12
AKSHOPTFBR,EQ,14.45,01-Nov-12
AKZOINDIA,EQ,967.75,01-Nov-12
ALBK,EQ,137,01-Nov-12
ALCHEM,EQ,52.6,01-Nov-12
ALEMBICLTD,EQ,15.55,01-Nov-12
ALICON,EQ,69.85,01-Nov-12
ALKALI,EQ,26.5,01-Nov-12
ALKYLAMINE,EQ,146.55,01-Nov-12
ALLCARGO,EQ,132.6,01-Nov-12
ALLSEC,EQ,38.6,01-Nov-12
ALMONDZ,EQ,7.7,01-Nov-12
ALOKTEXT,EQ,12,01-Nov-12
ALPA,EQ,9.75,01-Nov-12
ALPHAGEO,BE,55.5,01-Nov-12
ALPINEHOU,EQ,20.45,01-Nov-12
ALPSINDUS,EQ,1.9,01-Nov-12
ALSTOMT&D,EQ,206.25,01-Nov-12
AMAR,EQ,38.05,01-Nov-12
AMARAJABAT,EQ,227.85,01-Nov-12
AMARJOTHI,EQ,45.95,01-Nov-12
AMBIKCO,EQ,194.25,01-Nov-12
AMBUJACEM,EQ,204.3,01-Nov-12
AMDIND,EQ,15.65,01-Nov-12
AMLSTEEL,EQ,8.3,01-Nov-12
AMRUTANJAN,EQ,160.05,01-Nov-12
